Symbol	macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4	macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5	macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5	macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5	macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5	macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11585.3682-171F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6	macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2
Naa15	102.74	85.81	61.47	61.1	243.69	34.14	124.68	115.62	204.02	65.82	74.45	60.92	56.37	52.7	40.74	57.16	37.15	36.05	35.32	71.05	50.54	36.98	61.06	50.69	36.27	70.52	55.58	45.49	68.62	62.79	37.37	91.67	40.07	37.11	78.07	56.37	38.1
Naa15	1.78	0.3	0.73	1.31	7.86	0.28	0	0	0	0	0.9	1.09	0	0	0	0	0.36	0.88	0.55	0	0	0	0.78	0	0.07	0.55	0	0.27	0	0	0	0	0	0	1.56	0.39	0
Rab33b	3.57	2.84	2.5	2.62	0	3.33	2.49	1.99	3.03	2.31	3.14	3.26	1.45	6.59	1.7	0	6.19	2.89	5.05	5.61	4.43	4.62	3.91	4.28	4	2.73	2.42	4.36	3.9	5.67	4.26	2.7	3.6	3.44	4.68	3.15	2.79
Rab33b	7.03	7.01	3.65	3.71	0	7.36	5.61	11.96	5.45	1.15	8.52	4.35	7.23	3.29	4.24	3.01	8.93	8.42	8.62	6.54	7.98	9.1	10.18	7.33	8.55	12.03	9.67	7.75	10.14	8.5	7.21	9.44	10.79	6.76	7.81	7.49	7.94
Rab33b	1.15	1.19	0.73	0.76	7.86	0.83	1.25	1.99	0	0	0	1.09	4.34	0	4.24	0	0.83	0.63	0.92	0.93	0	1.26	1.57	0	1.1	0	2.42	0.98	2.34	1.42	1.66	1.35	1.03	2.18	0	1.58	1.62
Rab33b	0.84	0.75	0.21	0.55	0	0.14	0.62	1.99	1.21	1.15	0.45	1.09	0	6.59	1.7	0	0.6	0.13	0.64	0.93	0.89	0.28	1.57	1.83	0.34	1.64	0.6	0.53	1.56	0.47	0.71	2.7	1.54	0.69	1.56	0	1.62
Rab33b	1.26	0.9	0.63	1.31	7.86	0.69	1.25	0	1.82	0	0.9	2.18	4.34	0	5.94	0	1.07	0.38	1.19	0	0.89	0.84	0.78	0.61	0.97	2.73	0	0.8	0.78	1.42	0.83	0	0	0.46	3.12	0.39	1.32
Setd7	0.21	0.15	0.31	0.65	15.72	0.14	0.62	0	0	0	0.9	0	0	3.29	0.85	3.01	1.07	1	0.28	1.87	0	0.56	0	0.61	0.62	2.19	0.6	1.25	1.56	0.94	0.35	1.35	0	0.34	3.12	0.39	0.29
Setd7	0.63	0.9	0.31	2.07	0	0.83	0	0	0	2.31	0.9	4.35	1.45	9.88	0	0	1.67	1.88	0.73	0	0	0.42	0	0.61	1.1	0.55	0.6	1.78	2.34	1.42	0.83	0	1.54	0.57	1.56	0	0.15
Setd7	0.21	0.15	0.21	2.18	23.58	0	0	0	0	0	0.45	1.09	0	3.29	0.85	3.01	0.36	0.75	0.28	0	0	0.35	0	0	0.21	0	0	0.89	0	0	0.12	0	0	0.11	0	0.39	0.44
Setd7	0.84	0.9	0.63	1.75	7.86	1.11	0.62	0	1.21	1.15	1.79	0	0	9.88	0.85	6.02	2.98	3.14	1.65	0.93	4.43	3.43	5.48	4.89	3.1	3.28	6.04	1.87	5.46	1.89	0.83	1.35	1.54	1.37	7.81	1.97	1.32
Setd7	5.04	6.57	7.4	18.22	0	19.57	4.36	1.99	13.32	11.55	17.04	34.81	17.35	46.12	16.98	81.22	27.51	31.15	35.97	22.44	28.37	41.95	21.92	38.48	36.82	25.15	35.04	29.29	38.21	34.46	25.19	33.7	32.37	20.27	26.54	16.56	22.21
Setd7	0	0.15	0	0	0	0	0.62	0	0.61	0	0	0	0	0	0	0	0.24	0	0.18	0	0	0	0.78	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0
Setd7	0.42	0.15	0.42	0.55	15.72	0.69	1.87	1.99	4.84	2.31	0	2.18	7.23	0	3.4	0	1.79	0.88	0.73	0.93	0.89	0.56	1.57	0	0.41	1.09	0.6	0.62	1.56	0	0.71	0	1.54	1.26	1.56	0.79	1.47
Ufm1	78.19	75.51	66.47	72.01	227.97	51.08	42.39	47.84	43.59	45.04	34.53	25.02	57.82	26.35	47.53	18.05	28.94	26.38	25.69	39.26	26.6	24.02	36.79	23.21	24.07	37.17	24.77	29.82	38.21	30.21	39.38	25.61	41.1	40.77	35.91	32.72	49.72
Rfxap	0.1	0.15	0.42	0	0	0.28	0	0	0	0	0.45	0	0	0	0	0	0.36	0.25	0.46	0	0.89	0.35	0	0	0.28	0.55	0	0.27	0	0.47	0.35	0	0	0.23	0	0	0.29
Rfxap	3.04	2.39	3.02	2.95	0	3.89	4.36	3.99	6.66	3.46	5.38	8.7	0	6.59	9.34	0	8.34	6.41	9.63	7.48	10.64	9.03	9.39	6.72	7.86	10.93	7.85	5.96	1.56	7.55	7.8	5.39	3.6	7.44	3.12	9.07	5.88
Rfxap	8.5	8.8	9.79	12.87	15.72	13.19	14.96	15.95	17.56	12.7	19.73	19.58	18.79	16.47	12.73	3.01	17.15	15.83	20.83	14.96	15.07	16.67	15.66	18.32	20.34	20.77	18.12	17.27	14.04	18.41	18.45	22.92	21.58	17.98	18.74	21.68	18.24
Rfxap	0.31	0.45	0.1	0.44	0	0.83	1.25	0	0	1.15	0.9	0	0	3.29	0.85	0	0.83	0.25	0.73	0	1.77	0.77	0.78	0	0.62	0	0.6	0.45	0.78	0.94	0.47	0	1.03	0.8	0	1.58	0.74
Rnf13	176.42	162.81	132.83	259.45	495.25	180.71	177.05	374.78	112	214.79	189.71	215.39	112.74	273.4	163.81	192.53	250.3	266.18	314.33	207.53	254.48	310.55	187.88	272.4	288.45	224.12	265.22	259.59	219.91	327.16	257.3	198.16	315.96	257.58	270.12	329.96	328.75
chr3:58218620..58218661,+	16.48	9.55	8.44	5.35	0	13.6	10.6	5.98	10.9	6.93	16.15	2.18	13.01	3.29	11.03	6.02	9.05	13.06	8.35	10.28	26.6	14.36	10.96	18.32	17.17	9.29	23.56	22.97	10.14	15.11	19.27	16.18	7.19	16.61	4.68	14.98	15.59
Mbnl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbnl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbnl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbnl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.13	0.09	0	0.89	0.28	0	0	0.55	0	0	0.45	0	0.94	0.12	0	0	0.11	0	0	0
Mbnl1	0.21	0	0	0.22	0	0.14	0.62	0	0	0	0.45	0	0	0	0	0	1.55	2.01	3.85	0	0.89	3.64	0	2.44	2.55	0	3.02	1.69	0	3.3	0.95	0	3.08	1.6	0	1.58	0.74
Mbnl1	0.31	0	0.73	1.2	0	1.11	3.12	0	0	0	0.45	0	0	0	0	0	4.41	6.53	9.36	0	5.32	11.07	2.35	7.94	8.34	1.64	7.25	5.96	3.9	5.19	3.07	1.35	6.17	4.24	0	3.55	3.82
Mbnl1	1.15	0.3	0.21	1.85	0	0.56	0.62	0	0.61	0	0.9	1.09	0	0	0	0	4.76	4.9	9.45	0	4.43	8.4	3.13	7.94	8.55	1.09	7.85	5.25	0	5.19	2.13	0	8.73	2.86	3.12	3.94	2.21
Mbnl1	4.62	0.75	2.08	7.2	0	1.94	1.87	3.99	0	1.15	8.07	0	1.45	0	0	6.02	22.51	30.27	56.79	8.41	25.71	67.1	17.22	36.04	53.92	8.75	38.06	32.4	8.58	33.52	16.32	1.35	21.06	18.21	4.68	15.77	9.86
Mbnl1	144.51	64.17	161.48	244.39	455.94	141.57	89.15	73.76	47.83	73.91	193.74	176.23	41.92	227.28	39.04	180.5	272.8	322.33	413.14	227.16	318.33	432.06	245.81	367.68	390.92	251.46	398.73	304.64	237.85	353.6	212.96	214.34	312.36	197.8	321.65	276.74	185.77
Mbnl1	17	5.82	17.71	28.48	47.17	19.02	13.09	15.95	6.05	2.31	28.7	15.23	1.45	16.47	3.4	0	51.56	46.23	62.48	39.26	44.34	72.14	36.01	44.59	60.27	24.6	58	46.74	20.28	63.26	32.16	6.74	36.99	28.4	23.42	32.33	21.48
Mbnl1	0.31	0.6	0.1	0	0	0.28	0	0	0	0	0.45	0	0	0	1.7	0	0.36	0.75	0.28	0	0	0.7	0.78	0	0.21	0	0	0.71	0	0	0.24	0	0	0.8	0	1.18	1.18
Mbnl1	9.45	8.06	8.86	9.71	0	7.36	3.74	1.99	7.26	8.08	4.04	15.23	14.45	6.59	16.13	9.02	3.33	4.9	3.95	1.87	7.98	5.11	7.83	6.11	6.07	3.28	4.23	6.94	8.58	7.55	6.74	2.7	3.08	5.5	14.05	12.22	7.5
Mbnl1	53.31	52.68	50.32	51.28	0	68.7	57.98	37.88	53.28	69.29	79.83	48.95	47.7	79.06	69.6	123.34	63.23	65.7	63.86	53.28	135.67	100.78	51.67	123.37	104.4	54.66	134.72	112.44	67.06	147.29	96.84	78.19	87.85	103.65	113.98	119.84	85.02
Mbnl1	1.15	4.63	2.92	5.35	0	2.64	1.25	3.99	3.03	9.24	2.69	3.26	0	3.29	2.55	9.02	3.93	2.76	2.11	4.67	2.66	3.43	2.35	0.61	2.97	4.37	1.21	3.65	3.9	3.3	3.78	0	6.17	1.95	3.12	3.55	2.35
Mbnl1	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbnl1	1.68	1.94	3.02	3.49	0	0.97	0	1.99	1.21	5.77	2.24	1.09	4.34	0	2.55	9.02	0.24	0.5	1.01	0.93	0	0.63	1.57	1.22	0.69	0.55	0	0.62	0.78	0.47	0.47	1.35	0	0.69	1.56	1.18	0.44
Mbnl1	0.52	1.94	2.19	3.71	23.58	1.39	1.25	0	1.82	6.93	1.35	3.26	2.89	0	3.4	9.02	1.19	1.26	0.37	0	0.89	0.42	2.35	0.61	0.76	2.73	0	0.71	2.34	0.47	0.59	4.04	0.51	0.46	1.56	0.39	0.74
Mbnl1	0	0	0.21	0	0	0	0.62	1.99	0	0	0.45	0	1.45	0	0	0	0	0	0	0	0	0.07	0	0	0.14	0	0	0	0	0.47	0	0	0	0	0	0	0
Mbnl1	0.63	0.3	1.15	2.4	0	0.14	0	1.99	1.82	4.62	0.45	3.26	0	3.29	0	6.02	1.19	1.26	1.19	0.93	2.66	0.91	3.13	1.22	0.97	3.28	0.6	1.69	3.9	0.47	1.89	1.35	2.57	1.49	4.68	3.15	1.47
Mbnl1	0.94	1.64	2.08	3.27	7.86	1.8	1.25	1.99	0.61	0	1.79	1.09	0	3.29	0	0	0.83	2.01	0.92	5.61	1.77	1.12	3.13	2.44	1.38	4.37	0.6	3.29	5.46	1.42	3.43	2.7	0.51	3.55	1.56	1.97	2.79
Mbnl1	0.94	0.15	0.42	0.98	0	0.42	0.62	0	6.66	0	0.9	1.09	0	0	0.85	0	0.36	0.25	0.46	0	0	0.63	0.78	0	0.55	1.09	1.21	0.89	0.78	0.94	0.83	2.7	1.03	1.15	3.12	1.58	1.32
Mbnl1	0.73	0.75	0.94	1.53	31.44	1.67	0.62	0	0.61	0	0.9	0	0	3.29	1.7	0	0.48	0.75	1.56	0	0.89	2.38	1.57	1.22	2.14	3.28	0.6	1.34	0	0.94	2.72	0	1.54	2.06	4.68	3.15	4.27
Mbnl1	1.26	0.6	0.52	1.75	15.72	1.39	1.25	0	0	2.31	0.45	0	0	0	0	0	0.48	0.5	0.92	0.93	0.89	0.42	0.78	0	0.69	0.55	0.6	0.8	1.56	1.89	0.95	0	1.03	0.34	0	0.79	0.59
Mbnl1	1.99	0.45	1.67	1.96	0	0.83	1.25	0	0	0	0.9	0	1.45	0	0	0	1.31	1.63	1.56	0	0.89	1.05	3.13	0	1.1	0.55	0	2.05	0	0.47	0.95	1.35	1.03	1.03	1.56	1.58	1.32
Mbnl1	1.05	0.45	0.52	1.85	7.86	0.69	0.62	1.99	0	2.31	0.45	0	0	0	1.7	0	0.6	1.51	1.38	0	0	1.4	1.57	0	0.9	0.55	1.21	1.42	0	0	0.71	0	1.03	1.15	0	1.18	1.91
Mbnl1	2.1	0.6	0.94	10.26	0	0.42	1.25	0	0.61	1.15	0.9	0	0	0	0.85	15.04	0.83	2.64	2.75	0	0.89	2.17	0.78	1.83	1.93	0.55	3.02	2.58	1.56	1.89	1.89	1.35	1.03	2.41	3.12	1.18	2.06
Ssr3	1.99	0.6	0.63	1.42	15.72	0.42	0	1.99	0.61	0	0.45	1.09	1.45	3.29	0.85	6.02	0.36	0.5	0.46	1.87	0.89	0.21	0	0	0.21	0	0	0.09	0	0	0.59	1.35	0.51	0.23	1.56	0.79	0.15
Ssr3	102.95	73.42	72.72	95.57	605.31	53.02	160.84	151.51	94.44	98.16	72.21	98.99	88.17	118.58	132.41	120.33	59.78	69.09	82.02	61.7	63.84	61.91	75.93	67.79	58.48	79.26	63.43	48.61	68.62	78.84	52.26	72.8	64.22	53.6	99.93	69.38	73.25
Ssr3	70.84	38.95	66.88	77.35	220.11	43.72	79.8	57.81	45.41	76.22	55.16	89.2	57.82	92.23	98.46	138.38	59.06	70.09	62.11	51.41	47.88	49.52	43.06	53.14	50.2	45.92	56.79	44.24	46.79	55.23	45.64	40.44	25.69	42.38	29.67	37.85	44.13
Tiparp	1.99	0	0.1	0	0	0	64.84	5.98	12.71	0	6.73	0	7.23	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0.12	0	0	0	0	0	0
Tiparp	39.67	26.56	20.94	19.75	23.58	6.11	87.9	41.86	67.2	19.63	27.81	25.02	17.35	36.23	24.61	24.07	10.84	11.68	10.09	10.28	9.75	9.53	13.31	9.16	8.69	14.21	12.69	9.97	17.16	16.52	6.39	21.57	13.36	6.64	20.3	5.12	6.91
Tiparp	126.04	64.32	36.46	30.66	39.31	15.96	556.71	181.41	414.1	51.97	118.85	34.81	180.68	49.41	101.85	30.08	14.65	14.32	16.15	17.76	19.51	17.79	19.57	23.21	18.96	27.33	34.44	24.21	33.53	23.13	19.87	55.27	27.74	16.84	32.79	15.77	16.77
Tiparp	32.32	16.27	9.06	8.62	7.86	5.55	86.03	65.79	64.17	18.48	22.42	13.05	26.02	26.35	14.43	18.05	5.24	6.78	6.7	7.48	7.09	6.44	7.05	9.16	7.72	8.2	7.25	9.44	9.36	7.55	5.79	13.48	8.22	5.27	15.61	5.12	5.15
Tiparp	1.26	0.3	0.63	0.33	0	0	1.87	3.99	0.61	1.15	2.24	0	0	0	0	3.01	0.12	0.13	0	0	0.89	0.21	0	0	0.21	0	0	0.09	0	0	0	0	0	0	0	0.79	0.29
Ccnl1	3.25	2.09	1.98	2.84	7.86	4.44	2.49	1.99	2.42	1.15	2.69	1.09	2.89	6.59	0	0	2.74	3.14	2.48	0	4.43	2.52	2.35	2.44	3.24	0	3.02	3.47	0.78	1.42	2.84	4.04	0.51	2.41	0	2.37	1.91
Ccnl1	122.68	88.19	54.07	47.13	47.17	75.78	213.83	157.49	325.11	46.19	120.19	47.86	167.67	75.76	71.3	51.14	66.68	73.74	80.19	39.26	78.92	74.8	47.75	68.41	81.09	60.13	77.33	84.04	54.59	74.12	83.6	60.66	56	67	76.51	49.67	75.6
Ccnl1	10.39	7.61	4.69	4.8	0	6.52	28.68	13.95	50.85	3.46	11.21	1.09	15.9	3.29	10.19	6.02	5.6	4.65	5.32	5.61	6.21	5.74	5.48	4.28	5.52	4.37	6.04	5.88	6.24	6.61	5.2	8.09	4.11	6.41	7.81	9.46	9.27
Ccnl1	7.14	4.63	4.06	1.64	0	7.22	2.49	0	12.11	0	4.04	2.18	4.34	0	5.09	3.01	2.98	4.15	2.84	5.61	3.55	3.43	0	4.28	4.96	2.73	4.23	4.63	3.12	4.72	4.97	6.74	1.54	5.61	1.56	7.1	6.62
Ccnl1	0.52	1.79	0.94	0.33	0	0.83	1.87	0	1.82	0	0.9	1.09	0	0	0	3.01	0.6	0.25	0.46	0	1.77	0.56	0	0.61	0.76	1.09	1.21	0.45	0	0.94	0.83	0	0.51	0.34	1.56	0.79	0.44
Ccnl1	4.41	3.13	0.63	0.44	0	1.53	14.96	9.97	9.69	3.46	2.24	0	1.45	3.29	1.7	3.01	0.36	0.5	0.92	3.74	1.77	0.84	1.57	1.22	1.03	1.09	0	0.98	0.78	1.42	0.71	0	2.06	0.46	1.56	0.39	1.18
Ccnl1	1.68	0.9	0.21	0.44	0	0.42	1.25	3.99	1.21	2.31	0.9	0	0	0	0	0	0.48	0.38	0.46	0	0	0.14	0	0	0.28	1.64	0	0.09	0.78	0	0.24	0	0.51	0.34	0	0.39	0.44
Mfsd1	2.52	2.84	1.88	2.07	7.86	1.67	1.25	3.99	3.03	5.77	1.79	2.18	1.45	0	1.7	3.01	1.19	0.5	1.1	0.93	1.77	1.05	0.78	1.83	0.9	1.64	0.6	0.71	0	0.47	1.06	0	1.03	1.72	1.56	1.18	1.47
Mfsd1	87.53	81.63	73.97	78.01	94.33	64.96	85.41	63.79	101.1	85.45	72.65	47.86	125.75	65.88	121.37	72.2	35.37	35.93	37.25	42.07	56.75	45.1	32.88	45.2	43.79	45.37	53.16	51.01	52.25	42.96	56.05	37.75	42.64	53.49	46.84	50.85	55.6
Mfsd1	237.6	238.32	200.34	284	566	214.44	387.77	374.78	503.1	269.06	269.99	200.16	315.1	293.16	230.01	162.45	146.35	148.61	158.73	175.74	294.39	181.68	183.96	208.27	189.91	227.4	235.01	224.7	258.9	301.19	254.94	279.05	315.96	223.34	251.39	301.58	181.07
Mfsd1	3.04	2.54	1.56	2.29	0	2.91	3.74	3.99	1.82	1.15	2.69	2.18	0	3.29	0.85	0	0.83	1	1.19	0.93	1.77	1.47	0	0	0.76	2.19	1.81	2.31	0.78	2.36	2.72	1.35	1.03	2.75	7.81	0.79	2.21
Kpna4	3.57	1.94	2.19	1.96	0	2.5	1.25	3.99	1.21	0	0.9	2.18	1.45	0	0	0	1.91	1.63	2.02	0.93	1.77	2.03	1.57	1.22	2.21	1.64	1.21	2.67	0	1.42	2.01	0	1.54	1.15	0	0.39	2.21
Kpna4	168.23	89.69	55.53	47.46	117.92	32.06	82.91	189.38	161.65	80.83	36.33	39.16	69.38	46.12	52.62	51.14	31.56	32.41	39.82	21.5	24.83	48.75	21.92	20.16	58.41	19.68	30.81	67.21	16.38	36.35	66.34	25.61	54.46	62.65	20.3	33.11	54.28
Kpna4	72.2	45.81	36.67	34.48	110.06	22.76	36.78	47.84	49.04	40.42	18.84	22.84	24.57	26.35	22.07	33.09	25.6	30.27	39.82	19.63	19.51	37.61	15.66	20.16	36.34	20.23	29	28.58	17.94	26.44	23.18	25.61	35.96	26.46	12.49	22.08	28.24
Kpna4	4.72	4.33	3.02	3.49	7.86	2.78	0	5.98	1.82	1.15	1.79	1.09	2.89	0	0.85	0	2.38	2.76	2.94	2.8	0.89	3.43	3.13	1.22	2.97	0	3.02	3.12	1.56	2.83	2.13	0	1.54	2.29	0	0.79	2.79
Pdcd10	172.32	89.69	64.49	119.25	377.33	54.83	86.66	117.62	52.67	66.98	43.5	80.5	43.36	42.82	59.41	42.12	50.25	43.46	49.18	35.52	43.45	43.21	53.23	54.97	40.41	55.76	43.5	53.41	50.69	49.57	50.73	33.7	80.66	50.97	51.53	56.37	66.19
Pdcd10	0.21	0	0.1	0.33	15.72	0.28	0	0	0	0	0	0	0	0	0	0	0	0.13	0.09	0	0	0.35	0	1.22	0.14	0	0	0.09	0	0	0	0	0	0.34	0	0	0
Pdcd10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3:79091092..79091158,-	5.56	7.91	7.08	8.29	7.86	10.13	6.23	1.99	2.42	5.77	9.87	2.18	4.34	3.29	1.7	0	13.93	12.94	14.04	6.54	9.75	14.99	7.83	13.44	12.76	4.92	15.1	15.31	7.02	8.97	11.94	9.44	10.28	10.65	7.81	6.7	8.38
chr3:79335680..79335706,-	13.33	3.13	3.23	27.6	94.33	9.85	97.25	99.67	68.41	11.55	26.46	15.23	28.91	13.18	15.28	12.03	14.77	18.09	23.58	9.35	15.07	24.58	6.26	9.16	26.07	7.11	37.46	18.34	9.36	16.52	18.45	12.13	21.58	15.58	7.81	24.44	15.44
Ppid	22.35	25.52	30.42	47.35	149.36	28.04	20.57	39.87	40.56	45.04	30.05	50.04	30.35	29.65	34.8	54.15	22.62	22.36	34.77	17.76	25.71	27.8	25.83	22.6	30.48	28.97	21.75	22.97	28.85	33.99	21.99	28.31	39.56	23.94	32.79	30.36	26.62
Ppid	0.52	0.75	0.31	0.76	0	0.69	0.62	0	1.21	0	0	0	0	0	0	0	0.12	0.63	0.37	0	0	0.14	0	0	0.28	1.09	0.6	0.45	0	0.47	0.35	0	0	0.23	0	0	0.15
Etfdh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0.14	0	0	0.09	0	0	0.12	0	0	0	0	0	0
Etfdh	9.03	14.48	11.04	14.18	23.58	15.96	8.1	17.94	13.92	13.86	20.18	23.93	30.35	16.47	22.92	12.03	20.48	24.12	23.76	18.7	20.39	22.41	28.18	25.04	25.24	18.04	24.77	27.86	28.85	26.44	26.37	29.66	20.04	24.74	31.23	23.65	28.83
Etfdh	0	0.15	0.1	0.22	0	0.56	0	0	0	0	0	0	0	0	0.85	0	0.24	0.5	0.37	0	0	0.28	0	0.61	0.14	0.55	0	0.09	0	0	0.12	0	0	0.34	0	0.39	0.29
Etfdh	0.1	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0.48	0.25	0.28	0	0	0.21	0	0	0.07	0	0.6	0.09	0	0	0	0	0.51	0.11	0	0.39	0.15
Etfdh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdgfc	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.85	0	0.12	0.25	0.09	0.93	0	0.07	0	0	0.07	0	1.21	0	0	0	0.12	0	0	0	0	0.39	0
Pdgfc	0.94	0.6	0.21	0.65	0	2.08	1.87	3.99	0.61	2.31	8.07	2.18	1.45	0	2.55	6.02	6.19	10.93	5.05	0.93	7.09	9.17	3.13	5.5	8.69	2.19	9.06	4.36	7.8	8.03	6.27	4.04	7.19	4.92	1.56	9.46	3.68
Pdgfc	0.21	0	0.1	0.22	0	0.28	3.74	1.99	4.24	0	4.48	1.09	0	3.29	0	0	3.22	3.01	1.1	2.8	5.32	3.22	3.13	3.05	3.72	2.19	5.44	2.67	4.68	8.97	3.31	12.13	3.08	2.41	1.56	8.28	1.62
Pdgfc	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.14	0	0	0.14	0	0	0	0	0.47	0.12	0	0	0	0	0	0.15
Pdgfc	0.63	0	0	0	7.86	0.83	1.87	0	1.21	0	2.69	0	0	0	0	3.01	4.29	2.76	1.93	0	3.55	4.62	0.78	3.05	3.59	2.19	1.81	2.14	3.12	6.14	3.55	5.39	4.62	2.75	3.12	4.34	1.91
Pdgfc	0.21	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0.48	1.26	0.18	0	0	0.35	0	0	0.34	0.55	0.6	0.36	0	0.94	0.12	0	0	0.34	0	0.39	0.15
Pdgfc	0	0	0	0	0	0	0	0	0	0	0.9	0	1.45	0	0	0	0.24	0.5	0.09	0	0	0.28	0	0	0.21	0	0	0.27	0	0	0.24	1.35	0	0.11	0	0	0
